docker_number	openemr_repo	branch	serve_development_translations(not used)	use_development_translations	serve_packages	legacy_patching(not used)	demo_data	demo_ssh(not used)	patient_portals_and_api	external_link	root_sql_pass	branch_tag(not used)	demo_data_upgrade_from	fun_stuff	pass_reset	capsule	description
two_a	https://github.com/openemr/openemr.git	master	0	1	0	0	demo_5_0_0_5.sql	0	1	two.openemr.io/a	hey	0	5.0.0	2	0	0	Public OpenEMR Development Demo With Demo Data On Alpine 3.22 (with PHP 8.2)
one	https://github.com/openemr/openemr.git	master	0	1	0	0	0	0	1	one.openemr.io	hey	0	0	2	0	0	Public OpenEMR Development Demo on Alpine 3.23 (with PHP 8.3)
one_a	https://github.com/openemr/openemr.git	master	0	1	0	0	demo_5_0_0_5.sql	0	1	one.openemr.io/a	hey	0	5.0.0	2	0	0	Public OpenEMR Development Demo With Demo Data On Alpine 3.23 (with PHP 8.3)
seven	https://github.com/openemr/openemr.git	master	0	1	0	0	0	0	1	seven.openemr.io	hey	0	0	2	0	0	Public OpenEMR Development Demo on Alpine 3.23 (with PHP 8.4)
seven_a	https://github.com/openemr/openemr.git	master	0	1	0	0	demo_5_0_0_5.sql	0	1	seven.openemr.io/a	hey	0	5.0.0	2	0	0	Public OpenEMR Development Demo With Demo Data On Alpine 3.23 (with PHP 8.4)
eleven	https://github.com/openemr/openemr.git	master	0	1	0	0	0	0	1	eleven.openemr.io	hey	0	0	2	0	0	Public OpenEMR Development Demo on Alpine 3.23 (with PHP 8.5)
eleven_a	https://github.com/openemr/openemr.git	master	0	1	0	0	demo_5_0_0_5.sql	0	1	eleven.openemr.io/a	hey	0	5.0.0	2	0	0	Public OpenEMR Development Demo With Demo Data On Alpine 3.23 (with PHP 8.5)

# === Release demos (low → high version) ===
six	https://github.com/openemr/openemr.git	v7_0_4	0	0	1	0	0	0	1	six.openemr.io	hey	0	0	0	0	0	Public OpenEMR 7.0.4 Release Demo on Alpine 3.22 (with PHP 8.4)
six_a	https://github.com/openemr/openemr.git	v7_0_4	0	0	0	0	demo_5_0_0_5.sql	0	1	six.openemr.io/a	hey	0	5.0.0	0	0	0	Public OpenEMR 7.0.4 Release Demo With Demo Data On Alpine 3.22 (with PHP 8.4)
three	https://github.com/openemr/openemr.git	v8_0_0_3	0	0	1	0	0	0	1	three.openemr.io	hey	0	0	0	0	0	Public OpenEMR 8.0.0 Release Demo on Alpine 3.22 (with PHP 8.4)
three_a	https://github.com/openemr/openemr.git	v8_0_0_3	0	0	0	0	demo_5_0_0_5.sql	0	1	three.openemr.io/a	hey	0	5.0.0	0	0	0	Public OpenEMR 8.0.0 Release Demo With Demo Data On Alpine 3.22 (with PHP 8.4)
eight	https://github.com/openemr/openemr.git	rel-820	0	0	0	0	0	0	1	eight.openemr.io	hey	0	0	0	0	0	Public OpenEMR 8.2.0 Development Demo on Alpine 3.23 (with PHP 8.5)
eight_a	https://github.com/openemr/openemr.git	rel-820	0	0	0	0	demo_5_0_0_5.sql	0	1	eight.openemr.io/a	hey	0	5.0.0	0	0	0	Public OpenEMR 8.2.0 Development Demo With Demo Data On Alpine 3.23 (with PHP 8.5)

# === Parked ===
nine	https://github.com/openemr/openemr.git	master	0	0	0	0	0	0	1	nine.openemr.io	hey	0	0	0	0	0	[parked]
nine_a	https://github.com/openemr/openemr.git	master	0	0	0	0	demo_5_0_0_5.sql	0	1	nine.openemr.io/a	hey	0	5.0.0	0	0	0	[parked]
ten	https://github.com/openemr/openemr.git	master	0	0	0	0	0	0	1	ten.openemr.io	hey	0	0	0	0	0	[parked]
ten_a	https://github.com/openemr/openemr.git	master	0	0	0	0	demo_5_0_0_5.sql	0	1	ten.openemr.io/a	hey	0	5.0.0	0	0	0	[parked]
edu	https://github.com/openemr/openemr.git	master	0	0	0	0	0	0	1	edu.openemr.io	hey	0	0	0	0	0	[parked]
edu_a	https://github.com/openemr/openemr.git	master	0	0	0	0	demo_5_0_0_5.sql	0	1	edu.openemr.io/a	hey	0	5.0.0	0	0	0	[parked]
